session,phase,category,frame,mean_dFF,H,W,n_frames
230715,Expert,CR,9,0.00011359381083306388,142,170,22
230715,Expert,CR,10,-0.0005374624199939735,142,170,22
230715,Expert,CR,11,-0.0007460102840248339,142,170,22
230715,Expert,CR,12,-0.0002393103512641699,142,170,22
230715,Expert,CR,13,-2.8538732958987673e-05,142,170,22
230715,Expert,CR,14,0.00016432200576527558,142,170,22
230715,Expert,CR,15,0.0003417002260774977,142,170,22
230715,Expert,CR,16,0.0005028984633542479,142,170,22
230715,Expert,CR,17,0.00011037091373552159,142,170,22
230715,Expert,CR,18,0.0003480774033463128,142,170,22
230715,Expert,CR,19,0.00015081947701010433,142,170,22
230715,Expert,CR,20,-0.00041945625394268916,142,170,22
230715,Expert,CR,21,-0.00036003953805189464,142,170,22
230715,Expert,Target,0,0.0020961188650961797,142,170,22
230715,Expert,Target,1,0.001171135656466906,142,170,22
230715,Expert,Target,2,0.00035263098787962217,142,170,22
230715,Expert,Target,3,3.612551939160262e-05,142,170,22
230715,Expert,Target,4,-0.0003086262782633966,142,170,22
230715,Expert,Target,5,-0.0001247493447865063,142,170,22
230715,Expert,Target,6,-0.000119029037086257,142,170,22
230715,Expert,Target,7,-0.0005355098800926189,142,170,22
230715,Expert,Target,8,-0.000448618708525637,142,170,22
230715,Expert,Target,9,-0.00020088151130900322,142,170,22
230715,Expert,Target,10,0.0001775225963252784,142,170,22
230715,Expert,Target,11,0.000693655202515969,142,170,22
230715,Expert,Target,12,0.0013056766924607888,142,170,22
230715,Expert,Target,13,0.0031898490267040598,142,170,22
230715,Expert,Target,14,0.007380279939707349,142,170,22
230715,Expert,Target,15,0.013465460321857334,142,170,22
230715,Expert,Target,16,0.02057180972190537,142,170,22
230715,Expert,Target,17,0.026523015456566254,142,170,22
230715,Expert,Target,18,0.02809913875095477,142,170,22
230715,Expert,Target,19,0.027731063630284998,142,170,22
230715,Expert,Target,20,0.02587745586906619,142,170,22
230715,Expert,Target,21,0.02331457735879408,142,170,22
230715,Expert,Distractor,0,0.0064534390004561785,142,170,22
230715,Expert,Distractor,1,-0.00045352906981204735,142,170,22
230715,Expert,Distractor,2,-0.00018022942425307572,142,170,22
230715,Expert,Distractor,3,0.0002199785385692392,142,170,22
230715,Expert,Distractor,4,0.0003028804967033036,142,170,22
230715,Expert,Distractor,5,0.00022820602863873784,142,170,22
